PredictedChild,has_protected,has_conflict,has_cross_conflict,count
Collision And Obstruction,False,False,False,1
Environmental Context,False,False,False,2
Hardware,False,False,False,3
Hazards,False,False,False,4
Navigation Systems,False,False,False,1
Objectives,False,False,False,1
Performance,False,False,False,4
Physical Processes,False,False,False,2
Route And Trajectory,False,False,False,6
Safety And Mitigation,False,False,False,2
Seafloor Characterization,False,False,False,2
Survey Data,False,False,False,2
uncategorised,False,False,False,4
