PredictedChild,has_protected,has_conflict,has_cross_conflict,count
Accuracy And Hazards,False,False,False,1
Analysis And Learning,False,False,False,2
Bathymetric Data Products,False,False,False,3
Environmental Context,False,False,False,1
Hazards,False,False,False,3
Measurement And Models,False,False,False,1
Performance,False,False,False,3
Quality And Confidence,False,False,False,3
Route And Trajectory,False,False,False,2
Safety And Mitigation,False,False,False,2
System Constraints,False,False,False,2
Temporal Aspects,False,False,False,1
uncategorised,False,False,False,6
