ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
71,performance degradation high-current zones shallow water acoustically complex environments logged,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
71,performance degradation high-current zones shallow oceanic acoustically complex environments logged,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 1, 'Environmental Context': 1}",{'Environmental And Oceanographic Conditions': 2},False,False,False
72,unmanned underwater vehicle stability propulsion efficiency sensor reliability adverse conditions must tracked,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 1, 'Performance': 1, 'Reliability': 1}","{'Environmental And Oceanographic Conditions': 1, 'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
72,unmanned underwater vehicle stability propulsion efficiency sensor reliability adverse environment must tracked,Performance,Vehicle Capabilities And Constraints,"{'Performance': 1, 'Reliability': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
73,comparative analysis across platforms mission types essential refining operational limits,Adverse Performance Profiles,Vehicle Capabilities And Constraints,"{'Adverse Performance Profiles': 1, 'Objectives': 1, 'Analysis And Learning': 1}","{'Vehicle Capabilities And Constraints': 1, 'Mission Parameters And Objectives': 1, 'Historical And Contextual Data': 1}",False,False,False
73,comparative analysis across platforms mission types essential refining operational limits,Adverse Performance Profiles,Vehicle Capabilities And Constraints,"{'Adverse Performance Profiles': 1, 'Objectives': 1, 'Analysis And Learning': 1}","{'Vehicle Capabilities And Constraints': 1, 'Mission Parameters And Objectives': 1, 'Historical And Contextual Data': 1}",False,False,False
330,currents major influence mission profiles,Physical Processes,Mission Parameters And Objectives,"{'Physical Processes': 1, 'Objectives': 1, 'Temporal Aspects': 1}","{'Environmental And Oceanographic Conditions': 1, 'Mission Parameters And Objectives': 2}",False,False,False
330,currents major influence mission profiles,Physical Processes,Mission Parameters And Objectives,"{'Physical Processes': 1, 'Objectives': 1, 'Temporal Aspects': 1}","{'Environmental And Oceanographic Conditions': 1, 'Mission Parameters And Objectives': 2}",False,False,False
331,wind sea state swell launch recovery,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 2, 'Response And Recovery': 1, 'Deployment': 2}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 1, 'Operational Logistics': 2}",False,False,False
331,wind sea state swell deployment recovery,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 2, 'Response And Recovery': 1, 'Deployment': 2}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 1, 'Operational Logistics': 2}",False,False,False
332,vessel traffic considerations unplanned global positioning system surface fixing,Navigation Systems,Navigation And Positioning,"{'Navigation Systems': 1, 'Accuracy And Hazards': 1}",{'Navigation And Positioning': 2},False,False,False
332,vessel traffic considerations unplanned global positioning system surface fixing,Navigation Systems,Navigation And Positioning,"{'Navigation Systems': 1, 'Accuracy And Hazards': 1}",{'Navigation And Positioning': 2},False,False,False
