ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
80,incident logging include root cause analysis operational impact,Incident Management And Notifications,Threats And Risk Management,{'Incident Management And Notifications': 1},{'Threats And Risk Management': 1},False,False,False
80,incident logging include root cause analysis operational impact,Incident Management And Notifications,Threats And Risk Management,{'Incident Management And Notifications': 1},{'Threats And Risk Management': 1},False,False,False
81,communications dropouts sensor failures navigation drift must recorded geospatial context,Physical Processes,Navigation And Positioning,"{'Physical Processes': 1, 'Hardware': 1, 'Route And Trajectory': 1, 'Failure Scenarios': 1, 'Hazards': 1, 'Comms Infrastructure': 1}","{'Environmental And Oceanographic Conditions': 1, 'Vehicle Capabilities And Constraints': 1, 'Navigation And Positioning': 2, 'Threats And Risk Management': 1, 'Communications And Control': 1}",False,False,False
81,communications dropouts sensor failures navigation drift integration recorded geospatial context,Physical Processes,Navigation And Positioning,"{'Physical Processes': 1, 'Hardware': 1, 'Route And Trajectory': 1, 'Failure Scenarios': 1, 'Hazards': 1, 'Comms Infrastructure': 1}","{'Environmental And Oceanographic Conditions': 1, 'Vehicle Capabilities And Constraints': 1, 'Navigation And Positioning': 2, 'Threats And Risk Management': 1, 'Communications And Control': 1}",False,False,False
82,risk flags trigger automated alerts post-mission debrief requirements,Objectives,Mission Parameters And Objectives,"{'Objectives': 1, 'Hazards': 1}","{'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 1}",False,False,False
82,risk flags trigger automated sector post-mission debrief requirements,Objectives,Mission Parameters And Objectives,"{'Objectives': 1, 'Hazards': 1}","{'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 1}",False,False,False
337,current incompatibility solutions exist,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
337,current incompatibility solutions exist,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
338,deconfliction communication channels achieved liaison mission orders,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Objectives': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Mission Parameters And Objectives': 1, 'Communications And Control': 1}",False,False,False
338,deconfliction communication channels achieved liaison operation tidal current,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 2, 'Hardware': 1, 'Comms Infrastructure': 1}","{'Environmental And Oceanographic Conditions': 2, 'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
